organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Model_Predicted_Adhesion,True_Adhesion,Adhesion_Error,Model_Predicted_Coverage,True_Coverage,Coverage_Error,Model_Predicted_Uniformity,True_Uniformity,Uniformity_Error
30.0,0.6,35.0,130.0,7.5,15.0,0.7388504,0.7396665,-0.0008160852470397995,2.9227035,2.9182427,0.004460804562377962,0.15244424,0.15464213,-0.00219788656890868
10.0,3.4,30.0,210.0,6.0,40.0,0.17635822,0.17615724,0.00020098296142578853,0.4943614,0.4940312,0.0003302006042480432,1.0328561,1.0342891,-0.0014329932418823965
4.0,1.8,35.0,70.0,5.5,55.0,0.80150723,0.8013582,0.0001490345733642373,0.39519262,0.39492676,0.00026586313842774656,0.019484043,0.019523278,-3.923487866211092e-05
21.0,4.5,25.0,280.0,5.0,35.0,-0.13405144,-0.13432798,0.00027653785369874395,1.3585396,1.3584474,9.21812988281534e-05,2.0981345,2.099517,-0.0013824823303223432
18.0,2.5,30.0,230.0,2.5,20.0,0.18413484,0.18454707,-0.0004122290347290114,1.3730941,1.3734486,-0.00035451812133779903,0.69346833,0.69403225,-0.0005639177093506031
6.0,4.1,40.0,40.0,9.0,45.0,0.849264,0.84860265,0.0006613756881713728,0.75892854,0.7581241,0.0008044373687744466,0.08376813,0.08399898,-0.00023085065124511805
15.0,1.1,25.0,180.0,7.5,55.0,0.7855142,0.78613925,-0.0006250741081237354,0.83109546,0.8308149,0.00028055707702634436,0.9857411,0.9867869,-0.0010458211463928446
24.0,2.6,35.0,80.0,5.0,25.0,0.712896,0.71317655,-0.00028056058197023503,2.556532,2.5561519,0.00038000612792954414,0.46827453,0.4689989,-0.0007243662513732874
25.0,1.6,30.0,20.0,6.0,30.0,0.5271167,0.5282187,-0.0011019840919495039,2.1264105,2.1254957,0.0009147843139647449,0.6299828,0.6308206,-0.0008377709060668481
12.0,5.0,35.0,260.0,4.5,60.0,0.59932995,0.59901047,0.0003194784252930072,0.59722424,0.5962664,0.0009578355346679945,1.627783,1.6262019,0.0015810408645628993
24.0,2.6,40.0,80.0,5.0,25.0,1.3142859,1.3149772,-0.0006913256332397033,3.1234918,3.1233933,9.846406860347656e-05,-0.17776012,-0.17774433,-1.579420654296282e-05
30.0,0.6,40.0,130.0,7.5,15.0,1.359514,1.3607776,-0.0012636019683838207,3.5706198,3.5682425,0.0023773215484617083,-0.5191443,-0.5231356,0.00399130335388187
25.0,1.6,35.0,20.0,6.0,30.0,0.9224956,0.92212677,0.0003688335614013827,2.606599,2.6065302,6.889248352059951e-05,0.19117439,0.19001591,0.0011584779318237204
30.0,0.6,35.0,80.0,7.5,15.0,0.8102538,0.81259763,-0.0023438310383605554,2.8902218,2.882405,0.007816834182739374,0.09215295,0.10134164,-0.009188686852111813
7.0,0.6,35.0,130.0,7.5,15.0,0.35433733,0.3540562,0.00028113463287354756,0.6454232,0.64559263,-0.00016945609558105534,-0.26360524,-0.25948787,-0.004117367007141104
25.0,5.0,35.0,80.0,6.0,30.0,0.19706357,0.19711293,-4.936474578856598e-05,2.7339616,2.734419,-0.00045741781616204236,1.5690888,1.5717616,-0.0026727833572388615
30.0,5.0,35.0,80.0,8.5,15.0,0.10145402,0.10060316,0.000850859546508792,3.3368435,3.3379364,-0.0010929093994138661,1.6888728,1.6910313,-0.002158485821533107
30.0,5.0,40.0,130.0,7.5,15.0,0.6597058,0.65853685,0.0011689676994324216,4.005982,4.0117245,-0.00574257785034149,1.0596079,1.0547068,0.004901063426208552
30.0,4.5,25.0,180.0,7.5,15.0,-0.48288798,-0.48337784,0.0004898566778564484,2.3919497,2.3918347,0.00011495362548830101,2.2406774,2.2434301,-0.0027527432800291685
15.0,4.5,25.0,180.0,7.5,60.0,0.24193871,0.24201459,-7.587978729248213e-05,0.77002525,0.76925486,0.0007703932958984527,2.0526166,2.047956,0.0046605962219237185
24.0,4.5,40.0,80.0,5.0,25.0,0.867738,0.86736447,0.0003735384991454538,3.1606646,3.161364,-0.0006994415893553096,0.5800729,0.5800971,-2.4220208740266536e-05
30.0,4.5,40.0,130.0,7.5,15.0,0.8196488,0.8195532,9.560228042604368e-05,4.004504,4.0059977,-0.001493496203613276,0.79089254,0.79012966,0.0007628814085388624
30.0,4.5,35.0,80.0,7.5,60.0,0.97549576,0.9751022,0.00039355567245480394,3.4154441,3.4212437,-0.005799564334106666,1.7695272,1.7686439,0.0008832968841552269
30.0,3.4,40.0,80.0,7.5,25.0,1.329633,1.3298013,-0.00016830248718258112,3.9392886,3.9397078,-0.0004191838195799491,0.3121562,0.31040213,0.0017540704089355486
30.0,4.5,30.0,80.0,8.5,25.0,0.02240324,0.02228935,0.00011389020385742243,2.812005,2.8115294,0.0004756430297851999,1.9779513,1.9789386,-0.0009873117767333905
30.0,4.5,35.0,280.0,9.0,60.0,1.3255994,1.3258657,-0.00026626800842288745,3.293782,3.2934852,0.00029679577331531704,2.407177,2.4060576,0.0011193714355468565
30.0,5.0,30.0,280.0,7.5,60.0,0.7457401,0.7454652,0.0002749156425475574,2.6470242,2.6479065,-0.0008823453369140033,3.03205,3.0358486,-0.003798705667114266
24.0,5.0,25.0,80.0,4.5,60.0,-0.0763495,-0.07739779,0.00104829315856933,1.7398789,1.7393107,0.000568192898559472,2.3305154,2.329771,0.0007443846740722293
25.0,5.0,25.0,280.0,4.0,60.0,0.42688757,0.42655566,0.00033191181167602224,1.5082811,1.5077982,0.0004829117172240327,2.8092518,2.8113632,-0.0021114147216798607
30.0,1.3,40.0,280.0,7.5,60.0,2.4744172,2.4749687,-0.0005514903747556588,3.5349228,3.534308,0.0006148382110597872,0.45350116,0.45131657,0.0021845949131775177
30.0,5.0,40.0,280.0,9.0,60.0,1.7836893,1.7859604,-0.0022711395172119175,3.9544978,3.9492118,0.005286014178466747,1.987534,1.992857,-0.0053229538269043974
25.0,1.1,35.0,280.0,4.0,60.0,1.7504048,1.7508303,-0.0004254652526856084,2.1723468,2.1724,-5.3169631958116526e-05,0.74218047,0.7393822,0.0027982666519165145
30.0,1.1,40.0,280.0,9.0,60.0,2.4900074,2.4896173,0.0003901005126953905,3.6015444,3.6007946,0.0007497801879883248,0.5109975,0.509038,0.0019594741935730076
30.0,0.1,40.0,280.0,9.0,60.0,2.4654164,2.4659605,-0.0005440685729980466,3.4048429,3.399212,0.005630853546142678,0.3448971,0.34285718,0.002039911388702409
24.0,0.1,30.0,280.0,4.0,60.0,1.3311065,1.3314664,-0.00035985645904546004,1.4489135,1.4474142,0.001499255009460354,1.0116943,1.0105946,0.0010997120956421913
24.0,0.7,40.0,280.0,4.0,60.0,2.3391912,2.34004,-0.0008488016510010965,2.5821426,2.5804765,0.0016660914764403678,0.0039122105,0.0022313446,0.0016808658644775392
24.0,1.7,40.0,280.0,4.0,60.0,2.2962136,2.300206,-0.003992373138427929,2.7092078,2.7081249,0.001082873208618107,0.19716358,0.19555606,0.0016075218481445275
30.0,3.4,40.0,280.0,9.0,60.0,2.2280393,2.2279096,0.00012966467895525469,3.8898995,3.89057,-0.0006705077362059164,1.222514,1.2231779,-0.0006638666824341222
30.0,4.5,40.0,280.0,9.0,60.0,1.9473135,1.9469769,0.00033664713439951477,3.9423423,3.943485,-0.0011427186584471727,1.7272036,1.7282798,-0.00107619244079582
30.0,5.0,35.0,280.0,9.0,60.0,1.1639404,1.1648495,-0.0009090703125000932,3.3005056,3.2992122,0.0012934381225586655,2.6635146,2.670635,-0.007120385894775261
30.0,4.8,40.0,280.0,9.0,55.0,1.6951303,1.6936147,0.0015156482055664888,3.9702263,3.9733007,-0.0030744121582029216,1.8018689,1.8038458,-0.0019768844421386156
30.0,4.8,35.0,280.0,9.0,55.0,1.0728543,1.0725037,0.00035058047180180907,3.3226397,3.3233006,-0.0006608962493896975,2.4830403,2.4816234,0.0014169327941893073
30.0,0.2,40.0,280.0,9.0,55.0,2.312172,2.3128233,-0.0006513639648435543,3.4489546,3.4464366,0.0025179822143552855,0.27861667,0.2749827,0.003633966793823218
30.0,2.8,40.0,280.0,9.0,55.0,2.1797934,2.1794124,0.00038095784912117736,3.8627343,3.8633463,-0.0006119822204588843,0.9110758,0.9117173,-0.0006415291450500016
30.0,0.3,40.0,280.0,9.0,55.0,2.3178632,2.3181045,-0.0002412740631103638,3.4707038,3.4681985,0.0025053402557371207,0.28780007,0.2885396,-0.0007395263763427806
30.0,2.6,40.0,280.0,9.0,60.0,2.3687463,2.3689175,-0.00017121932983377164,3.816798,3.8172667,-0.00046872827453592336,0.92145705,0.9223033,-0.0008462477691650871
30.0,5.0,40.0,20.0,9.0,55.0,1.367835,1.3685024,-0.000667355139160053,4.165826,4.1701775,-0.004351656188965158,1.2209169,1.216064,0.004852867256164517
30.0,5.0,30.0,280.0,9.0,60.0,0.754241,0.7548495,-0.0006085103149413573,2.7500472,2.749212,0.0008352068786621203,3.1326685,3.1373017,-0.004633204821777426
30.0,4.5,40.0,280.0,8.0,55.0,1.7880056,1.7886124,-0.0006068095611573288,3.9049873,3.9043815,0.0006058352050781757,1.5830636,1.5836593,-0.0005956975524903374
30.0,0.5,40.0,280.0,9.0,60.0,2.485151,2.485419,-0.0002679475250242369,3.488818,3.4853427,0.0034752302215577124,0.39760202,0.39883387,-0.0012318483058166296
24.0,2.2,40.0,280.0,5.0,55.0,2.1240263,2.1246283,-0.0006020014770506954,2.86164,2.8610244,0.0006155765014650427,0.32772803,0.32638174,0.0013462930657959227
30.0,1.6,40.0,280.0,9.0,55.0,2.3109183,2.3109574,-3.9068853759705036e-05,3.709786,3.7094104,0.0003755382629395676,0.54613405,0.5443704,0.001763654660797087
30.0,5.0,40.0,280.0,9.0,55.0,1.6274494,1.6267092,0.000740193272399825,3.9752192,3.9742167,0.0010025497253418614,1.9080774,1.9123003,-0.004222940800476138
30.0,2.9,40.0,280.0,9.0,55.0,2.162846,2.1630359,-0.00018981159057629426,3.872491,3.8731964,-0.0007055171264647164,0.94860804,0.94801486,0.0005931808096313329
30.0,0.4,40.0,280.0,9.0,55.0,2.3213506,2.3225527,-0.0012021255065919334,3.4929755,3.4895022,0.0034732734039306656,0.30257344,0.30297107,-0.00039762754089356367
30.0,2.1,40.0,280.0,9.0,60.0,2.429888,2.4299755,-8.748997497542987e-05,3.7565267,3.756563,-3.629139709460105e-05,0.76334226,0.7626824,0.0006598613143921073
24.0,0.8,40.0,280.0,6.0,60.0,2.351396,2.3523173,-0.0009212161682130571,2.7308614,2.7303772,0.00048422539978032475,0.15483987,0.15289892,0.0019409533139038149
30.0,0.9,40.0,280.0,9.0,60.0,2.4911232,2.4915497,-0.00042650053710957536,3.5655737,3.5641432,0.001430492321777166,0.46947235,0.46880472,0.0006676286900329509
30.0,5.0,40.0,280.0,7.0,60.0,1.7733448,1.7734482,-0.00010344482727053794,3.8147764,3.814138,0.0006384205932619125,1.8549731,1.857586,-0.002612922225952108
30.0,1.0,40.0,280.0,9.0,60.0,2.4908543,2.4910002,-0.0001459366943361573,3.5835497,3.5826979,0.0008518379302979717,0.4886378,0.48848403,0.00015377498504637321
30.0,3.9,40.0,280.0,9.0,60.0,2.113204,2.1127076,0.0004964023803712969,3.9209962,3.9214947,-0.0004985108825685813,1.438125,1.4396502,-0.001525185694885245
18.0,3.9,30.0,280.0,2.0,60.0,0.78158724,0.7810802,0.0005070430801391579,0.9418521,0.941462,0.0003900927429199008,1.6329736,1.6317475,0.0012260517501831991
30.0,4.5,30.0,280.0,9.0,60.0,0.91645515,0.9158657,0.0005894496505737257,2.742955,2.743485,-0.0005300305938722438,2.8735356,2.8727243,0.0008113330871584168
9.0,3.9,30.0,280.0,3.5,60.0,0.59964,0.60117674,-0.0015367282125854365,0.0007266998,-0.0012327507,0.0019594505291015626,1.4185604,1.4135481,0.005012285704040442
30.0,4.4,40.0,280.0,9.0,60.0,1.9754987,1.976681,-0.0011823236999510822,3.9400523,3.940965,-0.0009127291107176028,1.6729015,1.6779883,-0.005086788807678211
30.0,1.2,40.0,280.0,9.0,60.0,2.487084,2.4874015,-0.0003175881042478679,3.6189637,3.618433,0.0005307184143066301,0.52976364,0.5304665,-0.000702861026763868
30.0,5.0,40.0,280.0,9.0,10.0,0.19632196,0.19344819,0.0028737742639160235,4.184142,4.199261,-0.015118887268066317,1.1985573,1.1872905,0.011266757652282688
30.0,1.4,40.0,280.0,9.0,60.0,2.480885,2.4804711,0.0004139288391113993,3.6513643,3.6523356,-0.0009712735229490121,0.5756808,0.5759475,-0.00026670766830438897
30.0,1.5,40.0,280.0,9.0,60.0,2.4753609,2.4757564,-0.0003955296386717322,3.6690626,3.6685996,0.00046301444091811916,0.60043615,0.6,0.00043615102767946556
30.0,1.4,35.0,280.0,9.0,60.0,1.8589388,1.85936,-0.0004211867904662103,3.0040004,3.0023355,0.0016649253387450713,1.2532586,1.2537253,-0.000466714070129326
26.0,5.0,40.0,280.0,9.0,60.0,1.6698747,1.6697557,0.00011896812133782575,3.4313624,3.4311092,0.0002531905181886174,1.8629587,1.8616012,0.00135746966247563
26.0,4.4,40.0,280.0,10.0,60.0,1.8722062,1.8721371,6.911109008789218e-05,3.5082877,3.5089784,-0.00069073177185075,1.6269844,1.6245017,0.0024826578338623673
30.0,5.0,40.0,230.0,9.0,60.0,1.7189475,1.718719,0.00022852979278553676,3.997757,3.9972415,0.0005154580078126081,1.8477861,1.8499998,-0.0022137310836791713
5.0,5.0,40.0,280.0,9.0,60.0,1.048783,1.0471952,0.0015877446792602612,0.33799648,0.33651748,0.0014790028491211138,1.2340931,1.2349334,-0.0008403299697876676
20.0,5.0,40.0,280.0,9.0,60.0,1.484894,1.484796,9.803724670409686e-05,2.5260715,2.5262752,-0.0002036515380861026,1.6533369,1.6515557,0.0017811825912474877
30.0,3.3,40.0,280.0,9.0,60.0,2.2488794,2.2484512,0.0004282326782227841,3.8821003,3.8830101,-0.0009097562957762761,1.1805897,1.1825072,-0.001917524096679779
26.0,3.3,30.0,280.0,10.0,60.0,1.1481066,1.1484517,-0.000345124987793044,2.3958063,2.3954287,0.0003776125610350789,2.253055,2.2506642,0.002390895672607307
30.0,3.6,40.0,280.0,9.0,60.0,2.1839914,2.1843278,-0.0003363678100587464,3.9037333,3.9043143,-0.000581046520995887,1.3043664,1.307143,-0.0027766498260497485
26.0,5.0,35.0,280.0,10.0,60.0,1.0673337,1.0677743,-0.0004406017272948759,2.9030302,2.9038188,-0.0007886429107664128,2.5864537,2.586325,0.00012867622375489773
30.0,2.4,40.0,280.0,9.0,60.0,2.395757,2.3958397,-8.274008483866169e-05,3.7940183,3.79436,-0.00034173141479509894,0.85437804,0.855831,-0.0014529553947448814
30.0,2.3,40.0,280.0,9.0,60.0,2.4086187,2.4080513,0.0005673885833741288,3.7818003,3.7822192,-0.00041892991943370816,0.82323426,0.8239068,-0.0006725399177551772
30.0,2.0,40.0,280.0,9.0,60.0,2.439758,2.439688,7.006236267104171e-05,3.7429926,3.7430477,-5.506045837400109e-05,0.7333963,0.733382,1.429173278810758e-05
26.0,1.9,40.0,280.0,10.0,60.0,2.3660717,2.3665433,-0.0004715989501953288,3.3752975,3.374498,0.0007995463867187524,0.69626325,0.6936933,0.0025699536888122987
30.0,3.9,35.0,280.0,9.0,60.0,1.4922311,1.4915966,0.0006345305999755357,3.2706048,3.2714946,-0.0008897511383056944,2.1149042,2.117428,-0.00252383473205553
24.0,2.7,40.0,280.0,6.0,60.0,2.1896138,2.1895854,2.8419122314549128e-05,2.9239807,2.9250324,-0.001051687109375088,0.6128138,0.6116152,0.0011985707710265858
30.0,3.0,40.0,280.0,9.0,60.0,2.3053405,2.3050776,0.0002629284881590088,3.8570898,3.8575833,-0.0004935420806884139,1.0636007,1.0657436,-0.00214294062957765
