metal_a_type,metal_a_concentration,metal_b_type,metal_molar_ratio_b_a,Model_Predicted_Adhesion,True_Adhesion,Adhesion_Error,Model_Predicted_Coverage,True_Coverage,Coverage_Error,Model_Predicted_Uniformity,True_Uniformity,Uniformity_Error
20.0,10.0,16.0,4.0,-0.015827775,-0.016000107,0.00017233199847412062,3.0244167,3.0276,-0.0031833148956299517,2.4020646,2.4044,-0.0023354381561278004
10.0,40.0,1.0,6.0,0.17879587,0.17833371,0.00046216411880492525,1.1485248,1.1505691,-0.0020443388000488394,1.4191613,1.4184535,0.0007078197326659819
5.0,20.0,14.0,2.0,-0.32336754,-0.32317048,-0.00019705606796266428,-0.011999369,-0.014024083,0.0020247143323974606,0.74285674,0.7426624,0.00019434095153814113
15.0,30.0,9.0,9.0,0.68616056,0.686183,-2.243557739256552e-05,1.5042208,1.5042758,-5.495668487554006e-05,2.0299244,2.0297961,0.00012829270019532046
12.0,30.0,3.0,9.0,0.568363,0.56816006,0.00020295088333133204,0.9154123,0.9156734,-0.0002610932144164746,1.3886012,1.3881626,0.00043858389129636244
3.0,40.0,18.0,1.0,-0.8363839,-0.8368446,0.00046072081527714914,-0.15218711,-0.1566073,0.004420191006469731,1.2190682,1.216712,0.0023561695938110194
8.0,20.0,6.0,7.0,0.2645557,0.26423654,0.00031915267272947245,0.28979945,0.28978044,1.90118280029572e-05,0.67057204,0.6704825,8.954246520997966e-05
17.0,50.0,11.0,4.0,0.027579904,0.027361475,0.00021842860260009797,3.1579494,3.1586578,-0.0007083523681639114,2.935276,2.9351826,9.343149414053897e-05
16.0,20.0,6.0,1.0,0.22285113,0.22321633,-0.00036520261390685094,2.1644626,2.1657577,-0.001295133624267475,1.0682135,1.0687834,-0.0005699371704102063
6.0,30.0,11.0,10.0,0.33320272,0.3326857,0.0005170196884155542,0.28645515,0.2841995,0.0022556544189453187,1.2384629,1.2360015,0.0024614249572754154
17.0,40.0,11.0,4.0,0.19945759,0.199276,0.00018158581161498155,2.73148,2.7313092,0.00017068319396962295,2.4105368,2.4102745,0.00026226605224621835
17.0,20.0,11.0,4.0,0.27288216,0.27310488,-0.00022271647537230876,2.1836314,2.1841118,-0.0004803798645021118,1.7013272,1.7017088,-0.00038159529571535344
20.0,30.0,11.0,4.0,0.43553272,0.4352499,0.00028281889686582184,3.362972,3.362725,0.0002470211029050873,2.4283748,2.42815,0.00022476730346676632
20.0,20.0,13.0,4.0,0.30825117,0.307925,0.0003261723041534381,3.1311667,3.1312,-3.3303451538291284e-05,2.2772486,2.2772498,-1.1790130614031114e-06
20.0,50.0,7.0,4.0,0.32337686,0.32359987,-0.00022300580513001655,4.194742,4.1953745,-0.000632297241210722,3.2236528,3.2239,-0.00024716033935545667
20.0,50.0,6.0,4.0,0.34387854,0.3439999,-0.00012136258354189522,4.198668,4.1991,-0.00043199691772422,3.1891875,3.1894002,-0.0002126732971192702
20.0,50.0,9.0,4.0,0.26920924,0.26959988,-0.0003906440933990618,4.178501,4.180575,-0.002073870849609527,3.3089771,3.3097,-0.0007228729248045518
20.0,50.0,3.0,4.0,0.37877625,0.37879997,-2.3717730255112812e-05,4.1950955,4.195575,-0.0004794609069822542,3.1193373,3.1194997,-0.00016237967224119743
20.0,50.0,1.0,4.0,0.3801625,0.3799999,0.00016260729560851894,4.1806984,4.180975,-0.000276605224609483,3.100639,3.1009,-0.0002608951568605633
20.0,50.0,8.0,4.0,0.29867506,0.2987999,-0.00012483972778321029,4.188912,4.1892,-0.0002880851745601376,3.2637985,3.264,-0.0002015247344968607
