organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
30.0,0.6,35.0,130.0,7.5,15.0,0.7396665,2.9182427,0.15464213,2026-01-26-23:18:12
10.0,3.4,30.0,210.0,6.0,40.0,0.17615724,0.4940312,1.0342891,2026-01-26-23:18:12
4.0,1.8,35.0,70.0,5.5,55.0,0.8013582,0.39492676,0.019523278,2026-01-26-23:18:12
21.0,4.5,25.0,280.0,5.0,35.0,-0.13432798,1.3584474,2.099517,2026-01-26-23:18:12
18.0,2.5,30.0,230.0,2.5,20.0,0.18454707,1.3734486,0.69403225,2026-01-26-23:18:12
6.0,4.1,40.0,40.0,9.0,45.0,0.84860265,0.7581241,0.08399898,2026-01-26-23:18:12
15.0,1.1,25.0,180.0,7.5,55.0,0.78613925,0.8308149,0.9867869,2026-01-26-23:18:12
24.0,2.6,35.0,80.0,5.0,25.0,0.71317655,2.5561519,0.4689989,2026-01-26-23:18:12
25.0,1.6,30.0,20.0,6.0,30.0,0.5282187,2.1254957,0.6308206,2026-01-26-23:18:12
12.0,5.0,35.0,260.0,4.5,60.0,0.59901047,0.5962664,1.6262019,2026-01-26-23:18:12
24.0,2.6,40.0,80.0,5.0,25.0,1.3149772,3.1233933,-0.17774433,2026-01-26-23:19:12
30.0,0.6,40.0,130.0,7.5,15.0,1.3607776,3.5682425,-0.5231356,2026-01-26-23:19:12
25.0,1.6,35.0,20.0,6.0,30.0,0.92212677,2.6065302,0.19001591,2026-01-26-23:19:12
30.0,0.6,35.0,80.0,7.5,15.0,0.81259763,2.882405,0.10134164,2026-01-26-23:19:12
7.0,0.6,35.0,130.0,7.5,15.0,0.3540562,0.64559263,-0.25948787,2026-01-26-23:19:12
25.0,5.0,35.0,80.0,6.0,30.0,0.19711293,2.734419,1.5717616,2026-01-26-23:19:55
30.0,5.0,35.0,80.0,8.5,15.0,0.10060316,3.3379364,1.6910313,2026-01-26-23:19:55
30.0,5.0,40.0,130.0,7.5,15.0,0.65853685,4.0117245,1.0547068,2026-01-26-23:19:55
30.0,4.5,25.0,180.0,7.5,15.0,-0.48337784,2.3918347,2.2434301,2026-01-26-23:19:55
15.0,4.5,25.0,180.0,7.5,60.0,0.24201459,0.76925486,2.047956,2026-01-26-23:19:55
24.0,4.5,40.0,80.0,5.0,25.0,0.86736447,3.161364,0.5800971,2026-01-26-23:20:50
30.0,4.5,40.0,130.0,7.5,15.0,0.8195532,4.0059977,0.79012966,2026-01-26-23:20:50
30.0,4.5,35.0,80.0,7.5,60.0,0.9751022,3.4212437,1.7686439,2026-01-26-23:20:50
30.0,3.4,40.0,80.0,7.5,25.0,1.3298013,3.9397078,0.31040213,2026-01-26-23:20:50
30.0,4.5,30.0,80.0,8.5,25.0,0.02228935,2.8115294,1.9789386,2026-01-26-23:20:50
30.0,4.5,35.0,280.0,9.0,60.0,1.3258657,3.2934852,2.4060576,2026-01-26-23:21:39
30.0,5.0,30.0,280.0,7.5,60.0,0.7454652,2.6479065,3.0358486,2026-01-26-23:21:39
24.0,5.0,25.0,80.0,4.5,60.0,-0.07739779,1.7393107,2.329771,2026-01-26-23:21:39
25.0,5.0,25.0,280.0,4.0,60.0,0.42655566,1.5077982,2.8113632,2026-01-26-23:21:39
30.0,1.3,40.0,280.0,7.5,60.0,2.4749687,3.534308,0.45131657,2026-01-26-23:21:39
30.0,5.0,40.0,280.0,9.0,60.0,1.7859604,3.9492118,1.992857,2026-01-26-23:22:32
25.0,1.1,35.0,280.0,4.0,60.0,1.7508303,2.1724,0.7393822,2026-01-26-23:22:32
30.0,1.1,40.0,280.0,9.0,60.0,2.4896173,3.6007946,0.509038,2026-01-26-23:22:32
30.0,0.1,40.0,280.0,9.0,60.0,2.4659605,3.399212,0.34285718,2026-01-26-23:22:32
24.0,0.1,30.0,280.0,4.0,60.0,1.3314664,1.4474142,1.0105946,2026-01-26-23:22:32
24.0,0.7,40.0,280.0,4.0,60.0,2.34004,2.5804765,0.0022313446,2026-01-26-23:23:28
