organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
30.0,0.6,35.0,130.0,7.5,15.0,1.0,1.0,0.24399565,2026-01-25-11:58:06
10.0,3.4,30.0,210.0,6.0,40.0,0.70522225,0.47659206,0.68152493,2026-01-25-11:58:06
4.0,1.8,35.0,70.0,5.5,55.0,0.31361505,0.58390933,0.86841136,2026-01-25-11:58:06
21.0,4.5,25.0,280.0,5.0,35.0,0.9416697,0.63920593,0.31063372,2026-01-25-11:58:06
18.0,2.5,30.0,230.0,2.5,20.0,0.6456157,0.65679795,0.35103348,2026-01-25-11:58:06
6.0,4.1,40.0,40.0,9.0,45.0,0.7840547,0.27240863,0.7892756,2026-01-25-11:58:06
15.0,1.1,25.0,180.0,7.5,55.0,0.47910535,0.8270511,0.48009622,2026-01-25-11:58:06
24.0,2.6,35.0,80.0,5.0,25.0,0.8380178,0.83274007,0.30895743,2026-01-25-11:58:06
25.0,1.6,30.0,20.0,6.0,30.0,0.81100136,0.90139955,0.2322214,2026-01-25-11:58:06
12.0,5.0,35.0,260.0,4.5,60.0,1.0,0.24347667,0.48706442,2026-01-25-11:58:06
30.0,0.6,35.0,180.0,7.5,15.0,1.0,1.0,0.24399565,2026-01-25-11:59:07
30.0,0.6,35.0,130.0,7.5,60.0,1.0,1.0,0.18577711,2026-01-25-11:59:07
25.0,1.6,35.0,20.0,6.0,60.0,0.7741777,0.8821887,0.08263088,2026-01-25-11:59:07
30.0,1.1,25.0,130.0,7.5,15.0,1.0,1.0,0.24399565,2026-01-25-11:59:07
15.0,0.6,35.0,130.0,7.5,15.0,0.4581796,0.9124027,0.48009622,2026-01-25-11:59:07
12.0,0.8,25.0,10.0,4.0,25.0,0.30267024,0.8408391,0.5150397,2026-01-25-11:59:39
30.0,4.6,30.0,200.0,7.0,10.0,1.0,1.0,0.17583382,2026-01-25-11:59:39
30.0,4.2,40.0,140.0,8.5,55.0,1.0,1.0,0.24047157,2026-01-25-11:59:39
30.0,1.8,40.0,160.0,8.0,40.0,1.0,1.0,0.34316623,2026-01-25-11:59:39
21.0,4.5,25.0,280.0,4.0,35.0,0.940436,0.63157547,0.29605415,2026-01-25-11:59:39
8.0,1.8,40.0,160.0,5.5,40.0,0.4749289,0.6816988,0.7553538,2026-01-25-12:00:28
30.0,4.1,40.0,160.0,8.0,40.0,1.0,1.0,0.34316623,2026-01-25-12:00:28
30.0,3.4,40.0,160.0,8.0,40.0,1.0,1.0,0.34316623,2026-01-25-12:00:28
30.0,0.8,40.0,160.0,8.0,15.0,1.0,1.0,0.24613538,2026-01-25-12:00:28
30.0,0.1,40.0,160.0,8.0,40.0,1.0,1.0,0.34316623,2026-01-25-12:00:28
8.0,0.9,25.0,240.0,4.5,40.0,0.34443858,0.82809156,0.729969,2026-01-25-12:00:41
8.0,4.2,35.0,50.0,6.5,40.0,0.8258705,0.33596817,0.72648007,2026-01-25-12:00:41
3.0,1.1,30.0,170.0,5.5,60.0,0.22846211,0.74383175,0.91158605,2026-01-25-12:00:41
19.0,4.0,40.0,30.0,4.5,10.0,0.8321131,0.4943513,0.21419147,2026-01-25-12:00:41
17.0,2.9,25.0,110.0,5.0,15.0,0.68550533,0.60563606,0.40616208,2026-01-25-12:00:41
3.0,2.0,40.0,170.0,5.0,60.0,0.32852906,0.5316109,0.91096157,2026-01-25-12:01:18
3.0,3.5,25.0,290.0,6.0,60.0,0.56221175,0.16084163,0.89706296,2026-01-25-12:01:18
