metal_a_type,metal_a_concentration,metal_b_type,metal_molar_ratio_b_a,Adhesion,Coverage,Uniformity,Timestamp
20.0,10.0,16.0,4.0,0.56129616,0.42697018,0.30897778,2026-01-26-11:12:41
10.0,40.0,1.0,6.0,0.46039724,0.26531363,0.4113631,2026-01-26-11:12:41
5.0,20.0,14.0,2.0,0.31518596,0.20042905,0.2950017,2026-01-26-11:12:41
15.0,30.0,9.0,9.0,0.6409088,0.40720543,0.5599375,2026-01-26-11:12:41
12.0,30.0,3.0,9.0,0.5809394,0.21307637,0.35795105,2026-01-26-11:12:41
3.0,40.0,18.0,1.0,0.35185516,0.13834749,0.3081357,2026-01-26-11:12:41
8.0,20.0,6.0,7.0,0.28888392,0.10178115,0.24476656,2026-01-26-11:12:41
17.0,50.0,11.0,4.0,0.6367292,0.7192749,0.36749673,2026-01-26-11:12:41
16.0,20.0,6.0,1.0,0.3923288,0.2812326,0.17649052,2026-01-26-11:12:41
6.0,30.0,11.0,10.0,0.37531874,0.2739211,0.48005733,2026-01-26-11:12:41
17.0,50.0,9.0,4.0,0.57172066,0.68209404,0.33254105,2026-01-26-11:12:43
17.0,30.0,9.0,4.0,0.38123465,0.34798333,0.37019712,2026-01-26-11:12:43
17.0,50.0,12.0,4.0,0.6670912,0.7352127,0.3896736,2026-01-26-11:12:43
17.0,50.0,13.0,4.0,0.69337165,0.74904174,0.41278094,2026-01-26-11:12:43
6.0,30.0,9.0,9.0,0.44113863,0.23900628,0.42108625,2026-01-26-11:12:43
8.0,50.0,13.0,4.0,0.6490519,0.39515805,0.544297,2026-01-26-11:12:45
3.0,50.0,13.0,4.0,0.64886403,0.32292852,0.39150298,2026-01-26-11:12:45
17.0,50.0,13.0,1.0,0.5552479,0.6770486,0.28242457,2026-01-26-11:12:45
1.0,50.0,13.0,4.0,0.5370892,0.3416192,0.35866335,2026-01-26-11:12:45
15.0,30.0,11.0,9.0,0.619376,0.45221686,0.582968,2026-01-26-11:12:45
17.0,50.0,13.0,10.0,0.7221827,0.69383484,0.6057889,2026-01-26-11:12:47
15.0,30.0,13.0,9.0,0.5828591,0.49243242,0.5836429,2026-01-26-11:12:47
15.0,30.0,11.0,10.0,0.60903853,0.48505357,0.61175805,2026-01-26-11:12:47
17.0,50.0,13.0,9.0,0.72481567,0.70827156,0.5894028,2026-01-26-11:12:47
17.0,50.0,13.0,6.0,0.7394667,0.7517157,0.49933842,2026-01-26-11:12:47
17.0,50.0,12.0,10.0,0.7386193,0.6794058,0.61378354,2026-01-26-11:12:49
15.0,50.0,13.0,10.0,0.59412843,0.62808585,0.6660675,2026-01-26-11:12:49
17.0,50.0,12.0,6.0,0.73446167,0.7376867,0.48156303,2026-01-26-11:12:49
17.0,50.0,3.0,10.0,0.7656182,0.4911861,0.4937464,2026-01-26-11:12:49
17.0,50.0,13.0,5.0,0.7237254,0.7550538,0.45765278,2026-01-26-11:12:49
8.0,50.0,12.0,10.0,0.6034642,0.3264901,0.7469696,2026-01-26-11:12:51
17.0,50.0,13.0,8.0,0.73408484,0.7251532,0.5661744,2026-01-26-11:12:51
15.0,50.0,12.0,10.0,0.6115497,0.6086573,0.67558736,2026-01-26-11:12:51
17.0,50.0,16.0,6.0,0.71342355,0.7795887,0.52425855,2026-01-26-11:12:51
17.0,50.0,15.0,6.0,0.7280743,0.77275795,0.5214008,2026-01-26-11:12:51
8.0,50.0,16.0,10.0,0.5449476,0.3901609,0.67831683,2026-01-26-11:12:53
17.0,50.0,15.0,3.0,0.7037527,0.7536599,0.41390494,2026-01-26-11:12:53
15.0,50.0,16.0,10.0,0.5661634,0.67428523,0.61223197,2026-01-26-11:12:53
17.0,50.0,15.0,10.0,0.7006063,0.71567696,0.576305,2026-01-26-11:12:53
8.0,50.0,15.0,10.0,0.5513095,0.37195942,0.70161474,2026-01-26-11:12:53
17.0,50.0,3.0,6.0,0.50427926,0.553067,0.37563097,2026-01-26-11:12:55
17.0,50.0,18.0,6.0,0.6739113,0.785947,0.5136296,2026-01-26-11:12:55
19.0,50.0,12.0,10.0,0.8483501,0.7276591,0.5804795,2026-01-26-11:12:55
17.0,50.0,13.0,2.0,0.6030346,0.7084982,0.32275766,2026-01-26-11:12:55
15.0,10.0,16.0,6.0,0.34184846,0.42345855,0.22309422,2026-01-26-11:12:55
19.0,50.0,16.0,6.0,0.8033995,0.80331206,0.49943393,2026-01-26-11:12:57
19.0,50.0,18.0,10.0,0.8279543,0.74423885,0.49985713,2026-01-26-11:12:57
19.0,50.0,18.0,5.0,0.78671867,0.8029578,0.48368916,2026-01-26-11:12:57
20.0,50.0,12.0,10.0,0.881837,0.7421911,0.5807822,2026-01-26-11:12:57
2.0,50.0,18.0,10.0,0.55520123,0.27859685,0.4760646,2026-01-26-11:12:57
20.0,50.0,16.0,5.0,0.83433515,0.8096597,0.4810562,2026-01-26-11:12:59
20.0,50.0,15.0,6.0,0.8407686,0.80769885,0.49801052,2026-01-26-11:12:59
19.0,50.0,12.0,9.0,0.84823996,0.7421957,0.55723494,2026-01-26-11:12:59
20.0,50.0,12.0,8.0,0.8775897,0.77370936,0.52727765,2026-01-26-11:12:59
20.0,50.0,2.0,10.0,0.88779974,0.5979851,0.43077564,2026-01-26-11:12:59
20.0,50.0,15.0,9.0,0.83006865,0.76485467,0.54756397,2026-01-26-11:13:02
20.0,50.0,18.0,6.0,0.79193753,0.8003382,0.50038624,2026-01-26-11:13:02
20.0,50.0,16.0,7.0,0.81727284,0.7960085,0.5204594,2026-01-26-11:13:02
20.0,50.0,13.0,10.0,0.8659654,0.74687195,0.5758684,2026-01-26-11:13:02
20.0,50.0,0.0,0.0,0.6789107,0.5178711,0.36141044,2026-01-26-11:13:02
20.0,50.0,16.0,8.0,0.81164706,0.7806591,0.53039074,2026-01-26-11:13:04
5.0,50.0,12.0,10.0,0.67088705,0.27179837,0.65228295,2026-01-26-11:13:04
19.0,50.0,15.0,8.0,0.79870903,0.77596664,0.53380775,2026-01-26-11:13:04
10.0,50.0,16.0,8.0,0.49974066,0.5047088,0.69730526,2026-01-26-11:13:04
4.0,50.0,16.0,8.0,0.6424664,0.31211218,0.55417955,2026-01-26-11:13:04
20.0,50.0,14.0,5.0,0.83521944,0.8103643,0.44975758,2026-01-26-11:13:07
20.0,50.0,10.0,5.0,0.7562291,0.78962237,0.3532287,2026-01-26-11:13:07
13.0,50.0,16.0,9.0,0.46588397,0.61752295,0.66733813,2026-01-26-11:13:07
10.0,50.0,12.0,10.0,0.53348005,0.39495173,0.77498674,2026-01-26-11:13:07
18.0,50.0,12.0,10.0,0.7990915,0.7066644,0.592089,2026-01-26-11:13:07
20.0,50.0,15.0,5.0,0.8382927,0.8108369,0.46787596,2026-01-26-11:13:09
19.0,50.0,16.0,5.0,0.8132898,0.80635005,0.47624773,2026-01-26-11:13:09
18.0,50.0,16.0,6.0,0.7638817,0.79449457,0.50667727,2026-01-26-11:13:09
10.0,50.0,16.0,9.0,0.47812375,0.48812726,0.702328,2026-01-26-11:13:09
19.0,50.0,14.0,7.0,0.823631,0.78807366,0.5138808,2026-01-26-11:13:09
20.0,50.0,4.0,5.0,0.5919734,0.7034503,0.30347753,2026-01-26-11:13:12
20.0,50.0,7.0,5.0,0.6617379,0.753763,0.30123532,2026-01-26-11:13:12
20.0,50.0,5.0,5.0,0.60968405,0.7215154,0.29604548,2026-01-26-11:13:12
20.0,50.0,8.0,5.0,0.69297165,0.7675344,0.3135386,2026-01-26-11:13:12
20.0,50.0,17.0,10.0,0.8512178,0.7478084,0.5215342,2026-01-26-11:13:12
20.0,50.0,14.0,10.0,0.85372347,0.74964535,0.56620383,2026-01-26-11:13:14
20.0,50.0,19.0,6.0,0.7729801,0.79564327,0.49165922,2026-01-26-11:13:14
19.0,50.0,20.0,6.0,0.7290961,0.7910935,0.47087574,2026-01-26-11:13:14
16.0,50.0,12.0,10.0,0.67356724,0.64644015,0.6427717,2026-01-26-11:13:14
11.0,50.0,12.0,10.0,0.5124569,0.43582946,0.7728622,2026-01-26-11:13:14
7.0,50.0,12.0,10.0,0.6376425,0.3011904,0.7197044,2026-01-26-11:13:17
14.0,50.0,12.0,10.0,0.5598975,0.56723493,0.70844835,2026-01-26-11:13:17
20.0,50.0,15.0,10.0,0.8465739,0.7506179,0.5529147,2026-01-26-11:13:17
9.0,50.0,12.0,10.0,0.5661898,0.35807928,0.7660521,2026-01-26-11:13:17
9.0,50.0,16.0,6.0,0.60606366,0.48742467,0.6628571,2026-01-26-11:13:17
20.0,50.0,12.0,7.0,0.8672982,0.78945875,0.49053657,2026-01-26-11:13:20
19.0,50.0,14.0,5.0,0.8148961,0.80212474,0.44722915,2026-01-26-11:13:20
20.0,50.0,12.0,3.0,0.7053936,0.7822739,0.31144556,2026-01-26-11:13:20
19.0,50.0,12.0,8.0,0.8481568,0.75917745,0.5269749,2026-01-26-11:13:20
20.0,50.0,1.0,10.0,0.8593212,0.5773877,0.42300296,2026-01-26-11:13:20
19.0,50.0,12.0,7.0,0.8407743,0.77492684,0.4902339,2026-01-26-11:13:22
20.0,50.0,3.0,10.0,0.9125777,0.6182005,0.44407046,2026-01-26-11:13:22
20.0,50.0,6.0,10.0,0.9519165,0.67364174,0.5046627,2026-01-26-11:13:22
20.0,50.0,15.0,7.0,0.8350571,0.7969857,0.5212105,2026-01-26-11:13:22
20.0,50.0,14.0,8.0,0.84661305,0.7807637,0.539623,2026-01-26-11:13:22
18.0,50.0,15.0,5.0,0.7818268,0.7937564,0.47258565,2026-01-26-11:13:25
19.0,50.0,6.0,10.0,0.91743577,0.63899744,0.50973207,2026-01-26-11:13:25
20.0,50.0,16.0,6.0,0.82768714,0.8066217,0.5042424,2026-01-26-11:13:25
20.0,50.0,6.0,8.0,0.84023786,0.70636004,0.40569577,2026-01-26-11:13:25
8.0,50.0,13.0,9.0,0.61118513,0.35438788,0.7209188,2026-01-26-11:13:25
15.0,30.0,14.0,8.0,0.58102953,0.47431818,0.56037074,2026-01-26-11:13:28
8.0,50.0,12.0,8.0,0.66460335,0.35800844,0.69346505,2026-01-26-11:13:28
20.0,50.0,15.0,4.0,0.8226238,0.80462486,0.43156397,2026-01-26-11:13:28
15.0,30.0,12.0,10.0,0.59031117,0.5060406,0.60804886,2026-01-26-11:13:28
15.0,30.0,12.0,8.0,0.6156415,0.4377223,0.55754435,2026-01-26-11:13:28
9.0,50.0,14.0,9.0,0.5491915,0.40660313,0.7297297,2026-01-26-11:13:31
7.0,50.0,12.0,8.0,0.7017484,0.3327087,0.66619986,2026-01-26-11:13:31
19.0,50.0,13.0,9.0,0.8304514,0.75005573,0.5580801,2026-01-26-11:13:31
20.0,50.0,11.0,10.0,0.8995731,0.73554075,0.58024436,2026-01-26-11:13:31
19.0,50.0,16.0,4.0,0.81220126,0.80003804,0.44616932,2026-01-26-11:13:31
20.0,40.0,6.0,10.0,0.77888244,0.6767714,0.50482273,2026-01-26-11:13:34
20.0,50.0,19.0,10.0,0.8819879,0.7401624,0.49526003,2026-01-26-11:13:34
18.0,50.0,16.0,5.0,0.7769173,0.7975326,0.4834911,2026-01-26-11:13:34
19.0,50.0,17.0,5.0,0.80254775,0.8055144,0.4827717,2026-01-26-11:13:34
20.0,40.0,12.0,9.0,0.707773,0.7472903,0.55844766,2026-01-26-11:13:34
12.0,50.0,11.0,10.0,0.5291012,0.4575746,0.76441824,2026-01-26-11:13:37
19.0,40.0,15.0,5.0,0.6139886,0.6628944,0.4947712,2026-01-26-11:13:37
20.0,40.0,14.0,5.0,0.6659355,0.67077506,0.45366755,2026-01-26-11:13:37
20.0,50.0,13.0,7.0,0.8616064,0.7938397,0.5060294,2026-01-26-11:13:37
