metal_a_type,metal_a_concentration,metal_b_type,metal_molar_ratio_b_a,Adhesion,Coverage,Uniformity,Timestamp
20.0,10.0,16.0,4.0,-0.016000107,3.0276,2.4044,2026-01-27-05:13:28
10.0,40.0,1.0,6.0,0.17833371,1.1505691,1.4184535,2026-01-27-05:13:28
5.0,20.0,14.0,2.0,-0.32317048,-0.014024083,0.7426624,2026-01-27-05:13:28
15.0,30.0,9.0,9.0,0.686183,1.5042758,2.0297961,2026-01-27-05:13:28
12.0,30.0,3.0,9.0,0.56816006,0.9156734,1.3881626,2026-01-27-05:13:28
3.0,40.0,18.0,1.0,-0.8368446,-0.1566073,1.216712,2026-01-27-05:13:28
8.0,20.0,6.0,7.0,0.26423654,0.28978044,0.6704825,2026-01-27-05:13:28
17.0,50.0,11.0,4.0,0.027361475,3.1586578,2.9351826,2026-01-27-05:13:28
16.0,20.0,6.0,1.0,0.22321633,2.1657577,1.0687834,2026-01-27-05:13:28
6.0,30.0,11.0,10.0,0.3326857,0.2841995,1.2360015,2026-01-27-05:13:28
17.0,40.0,11.0,4.0,0.199276,2.7313092,2.4102745,2026-01-27-05:13:31
17.0,20.0,11.0,4.0,0.27310488,2.1841118,1.7017088,2026-01-27-05:13:31
20.0,30.0,11.0,4.0,0.4352499,3.362725,2.42815,2026-01-27-05:13:31
20.0,20.0,13.0,4.0,0.307925,3.1312,2.2772498,2026-01-27-05:13:31
20.0,50.0,7.0,4.0,0.32359987,4.1953745,3.2239,2026-01-27-05:13:31
20.0,50.0,6.0,4.0,0.3439999,4.1991,3.1894002,2026-01-27-05:13:33
20.0,50.0,9.0,4.0,0.26959988,4.180575,3.3097,2026-01-27-05:13:33
20.0,50.0,3.0,4.0,0.37879997,4.195575,3.1194997,2026-01-27-05:13:33
20.0,50.0,1.0,4.0,0.3799999,4.180975,3.1009,2026-01-27-05:13:33
20.0,50.0,8.0,4.0,0.2987999,4.1892,3.264,2026-01-27-05:13:33
14.0,50.0,9.0,4.0,-0.058164574,2.3710427,2.4098828,2026-01-27-05:13:35
15.0,50.0,9.0,4.0,-0.010185458,2.6276178,2.5453093,2026-01-27-05:13:35
12.0,50.0,9.0,4.0,-0.1461452,1.91191,2.1564813,2026-01-27-05:13:35
10.0,50.0,9.0,4.0,-0.22348869,1.5247993,1.9263483,2026-01-27-05:13:35
5.0,50.0,9.0,4.0,-0.37030998,0.87211937,1.4528164,2026-01-27-05:13:35
20.0,30.0,11.0,9.0,0.9329999,2.8154747,2.92515,2026-01-27-05:13:37
20.0,50.0,11.0,6.0,0.4560999,3.9800754,3.6787002,2026-01-27-05:13:37
20.0,50.0,11.0,10.0,0.9722999,3.6282752,4.2002997,2026-01-27-05:13:37
20.0,50.0,11.0,3.0,0.06894992,4.243925,3.2875001,2026-01-27-05:13:37
20.0,50.0,14.0,5.0,0.19429994,4.0174003,3.7568002,2026-01-27-05:13:37
20.0,50.0,14.0,10.0,0.8777999,3.6009002,4.4298,2026-01-27-05:13:39
17.0,50.0,11.0,10.0,0.761872,2.7711685,3.667372,2026-01-27-05:13:39
20.0,50.0,4.0,10.0,1.0388,3.6064,3.8607998,2026-01-27-05:13:39
20.0,50.0,14.0,9.0,0.74109995,3.6842003,4.2952003,2026-01-27-05:13:39
16.0,50.0,11.0,10.0,0.69704777,2.5214772,3.5013635,2026-01-27-05:13:39
20.0,30.0,1.0,10.0,1.1340499,2.485525,2.4810498,2026-01-27-05:13:41
20.0,40.0,4.0,10.0,1.1393,3.04065,3.166175,2026-01-27-05:13:41
20.0,50.0,3.0,10.0,1.0307,3.5934749,3.8346999,2026-01-27-05:13:41
20.0,50.0,3.0,8.0,0.8134,3.794175,3.5963001,2026-01-27-05:13:41
20.0,50.0,2.0,10.0,1.0181999,3.5780997,3.8142002,2026-01-27-05:13:41
20.0,20.0,3.0,10.0,1.0730749,2.18085,2.0706997,2026-01-27-05:13:43
20.0,40.0,17.0,10.0,0.7970749,3.08485,4.1077003,2026-01-27-05:13:43
20.0,50.0,11.0,8.0,0.7141999,3.8041751,3.9395,2026-01-27-05:13:43
20.0,50.0,5.0,10.0,1.0425,3.616875,3.8925,2026-01-27-05:13:43
20.0,40.0,5.0,10.0,1.139375,3.0587497,3.2049997,2026-01-27-05:13:43
20.0,50.0,17.0,10.0,0.7436999,3.5514748,4.7096996,2026-01-27-05:13:45
20.0,50.0,10.0,10.0,0.9949999,3.6325002,4.135,2026-01-27-05:13:45
20.0,40.0,12.0,10.0,1.0166999,3.1168501,3.6335752,2026-01-27-05:13:45
20.0,50.0,15.0,10.0,0.8374999,3.5868752,4.5175004,2026-01-27-05:13:45
20.0,50.0,19.0,10.0,0.63229996,3.5062752,4.9242997,2026-01-27-05:13:45
20.0,50.0,5.0,7.0,0.70124996,3.9086246,3.5265002,2026-01-27-05:13:47
11.0,50.0,5.0,10.0,0.43612182,1.6354415,2.5104637,2026-01-27-05:13:47
1.0,50.0,5.0,10.0,0.014999934,1.1443751,1.5275002,2026-01-27-05:13:47
20.0,50.0,13.0,10.0,0.9136999,3.6124752,4.3477,2026-01-27-05:13:47
20.0,30.0,5.0,10.0,1.14625,2.6031249,2.63125,2026-01-27-05:13:47
20.0,30.0,4.0,10.0,1.1498,2.5773997,2.5853,2026-01-27-05:13:49
20.0,50.0,5.0,9.0,0.9287499,3.714125,3.7705002,2026-01-27-05:13:49
20.0,40.0,10.0,10.0,1.0737499,3.1125002,3.483125,2026-01-27-05:13:49
20.0,50.0,10.0,7.0,0.6155,3.901,3.7480001,2026-01-27-05:13:49
20.0,50.0,0.0,0.0,-0.030000031,4.59,2.64,2026-01-27-05:13:49
20.0,50.0,18.0,10.0,0.6901999,3.5301,4.8142,2026-01-27-05:13:51
18.0,50.0,5.0,10.0,0.8891342,3.0505178,3.5446606,2026-01-27-05:13:51
20.0,50.0,5.0,8.0,0.815,3.811375,3.6485002,2026-01-27-05:13:51
2.0,50.0,5.0,10.0,0.04514534,1.1124568,1.5996193,2026-01-27-05:13:51
20.0,50.0,12.0,10.0,0.94519985,3.6216004,4.2712007,2026-01-27-05:13:51
7.0,50.0,5.0,10.0,0.23576167,1.2229483,2.0474722,2026-01-27-05:13:54
4.0,50.0,5.0,10.0,0.11341406,1.1026368,1.7613089,2026-01-27-05:13:54
4.0,10.0,16.0,2.0,-0.49805433,-0.13750142,0.8575668,2026-01-27-05:13:54
7.0,40.0,4.0,10.0,0.3571933,0.76064444,1.4518316,2026-01-27-05:13:54
9.0,50.0,5.0,10.0,0.3306232,1.3931837,2.2673337,2026-01-27-05:13:54
20.0,40.0,6.0,10.0,1.1350498,3.0744,3.2494252,2026-01-27-05:13:56
20.0,50.0,5.0,2.0,0.13249996,4.394875,2.9165,2026-01-27-05:13:56
18.0,40.0,4.0,9.0,0.8976947,2.5857902,2.7389197,2026-01-27-05:13:56
13.0,40.0,4.0,10.0,0.66232073,1.4348383,2.1209064,2026-01-27-05:13:56
18.0,30.0,4.0,9.0,0.92847097,2.1469746,2.1914394,2026-01-27-05:13:56
