metal_a_type,metal_a_concentration,metal_b_type,metal_molar_ratio_b_a,Adhesion,Coverage,Uniformity,Timestamp
20.0,10.0,16.0,4.0,0.32000002,0.316,0.272,2026-01-25-17:57:25
10.0,40.0,1.0,6.0,0.3551316,0.28152636,0.3618421,2026-01-25-17:57:25
5.0,20.0,14.0,2.0,0.19157894,0.18202631,0.18926318,2026-01-25-17:57:25
15.0,30.0,9.0,9.0,0.43842107,0.37005264,0.43242106,2026-01-25-17:57:25
12.0,30.0,3.0,9.0,0.37447372,0.30168423,0.3834737,2026-01-25-17:57:25
3.0,40.0,18.0,1.0,0.27947366,0.25339475,0.29013157,2026-01-25-17:57:25
8.0,20.0,6.0,7.0,0.25776318,0.21442106,0.26571053,2026-01-25-17:57:25
17.0,50.0,11.0,4.0,0.52552634,0.44968417,0.47205263,2026-01-25-17:57:25
16.0,20.0,6.0,1.0,0.25092107,0.2354737,0.19923684,2026-01-25-17:57:25
6.0,30.0,11.0,10.0,0.36157897,0.2949474,0.406579,2026-01-25-17:57:25
7.0,50.0,9.0,4.0,0.38394737,0.3166316,0.3988947,2026-01-25-17:57:28
5.0,50.0,16.0,6.0,0.4226316,0.35442108,0.4692632,2026-01-25-17:57:28
11.0,50.0,12.0,1.0,0.40657896,0.35305262,0.3671579,2026-01-25-17:57:28
19.0,50.0,15.0,4.0,0.5718421,0.49789476,0.5046842,2026-01-25-17:57:28
12.0,50.0,7.0,4.0,0.43973684,0.3651579,0.42047366,2026-01-25-17:57:28
